Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_bankssts_part1,0.5657606746847196,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_bankssts_part1,3,Association cortex - type 2,Association,True
0.05,lh_bankssts_part2,0.5995661695727248,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_bankssts_part2,3,Association cortex - type 2,Association,True
0.05,lh_caudalmiddlefrontal_part1,0.5654727622494542,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_caudalmiddlefrontal_part1,2,Association cortex - type 1,Association,True
0.05,lh_caudalmiddlefrontal_part2,0.6602189009169019,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_caudalmiddlefrontal_part2,2,Association cortex - type 1,Association,True
0.05,lh_caudalmiddlefrontal_part4,0.759564300972674,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_caudalmiddlefrontal_part4,2,Association cortex - type 1,Association,True
0.05,lh_entorhinal_part1,0.5926396097828954,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_entorhinal_part1,6,Limbic cortex,Limbic,False
0.05,lh_fusiform_part2,0.6879200413215893,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_fusiform_part2,2,Association cortex - type 1,Association,True
0.05,lh_inferiorparietal_part8,0.7763065800394249,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_inferiorparietal_part8,3,Association cortex - type 2,Association,True
0.05,lh_inferiortemporal_part4,0.5427716859274767,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_inferiortemporal_part4,2,Association cortex - type 1,Association,True
0.05,lh_lateralorbitofrontal_part4,0.6341510491476635,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_lateralorbitofrontal_part4,4,Secondary sensory cortex,Secondary,False
0.05,lh_middletemporal_part5,0.6318186909448674,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_middletemporal_part5,2,Association cortex - type 1,Association,True
0.05,lh_paracentral_part3,0.6692931015109862,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_paracentral_part3,1,Primary motor cortex,Primary,False
0.05,lh_parsopercularis_part3,0.5805284402347781,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_parsopercularis_part3,2,Association cortex - type 1,Association,True
0.05,lh_precentral_part3,0.7239167063250951,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_precentral_part3,1,Primary motor cortex,Primary,False
0.05,lh_precentral_part5,0.9511037220203576,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_precentral_part5,1,Primary motor cortex,Primary,False
0.05,lh_precentral_part7,0.6692931015109862,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_precentral_part7,1,Primary motor cortex,Primary,False
0.05,lh_superiorfrontal_part12,0.8714060315357431,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_superiorfrontal_part12,2,Association cortex - type 1,Association,True
0.05,lh_superiorfrontal_part9,0.9139262634367312,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_superiorfrontal_part9,2,Association cortex - type 1,Association,True
0.05,lh_superiorparietal_part3,0.7210403014753488,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_superiorparietal_part3,2,Association cortex - type 1,Association,True
0.05,lh_superiorparietal_part8,0.8708421879637398,Control,MIND,500.aparc,Node Versatility,0.3434705013556493,0.18995134727332716,0.5334218486289765,True,lh_superiorparietal_part8,2,Association cortex - type 1,Association,True
