Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_medialorbitofrontal,0.6430411276151556,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,lh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.05,lh_parsopercularis,0.3861738341729771,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,lh_parsopercularis,2,Association cortex - type 1,Association,True
0.05,lh_postcentral,0.4657471910109277,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,lh_postcentral,5,Primary sensory cortex,Primary,False
0.05,lh_rostralmiddlefrontal,0.8041933818057916,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,lh_rostralmiddlefrontal,3,Association cortex - type 2,Association,True
0.05,lh_superiorparietal,0.4027312605932686,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,lh_superiorparietal,2,Association cortex - type 1,Association,True
0.05,rh_medialorbitofrontal,0.6430411276151556,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,rh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.05,rh_postcentral,0.4657471910109277,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,rh_postcentral,5,Primary sensory cortex,Primary,False
0.05,rh_rostralmiddlefrontal,0.8041933818057916,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,rh_rostralmiddlefrontal,3,Association cortex - type 2,Association,True
0.05,rh_superiorparietal,0.4027312605932686,Control,MIND,aparc,Node Versatility,0.19062239761091468,0.19491551276278846,0.3855379103737031,True,rh_superiorparietal,2,Association cortex - type 1,Association,True
0.1,lh_inferiorparietal,0.8182263881504882,Control,MIND,aparc,Node Versatility,0.23067674891930273,0.21286466172904053,0.4435414106483433,True,lh_inferiorparietal,3,Association cortex - type 2,Association,True
