Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_bankssts_part1,0.6390661850493152,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_bankssts_part1,3,Association cortex - type 2,Association,True
0.05,lh_bankssts_part2,0.6390661850493152,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_bankssts_part2,3,Association cortex - type 2,Association,True
0.05,lh_caudalmiddlefrontal_part1,0.6588472509454542,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_caudalmiddlefrontal_part1,2,Association cortex - type 1,Association,True
0.05,lh_caudalmiddlefrontal_part4,0.6588472509454542,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_caudalmiddlefrontal_part4,2,Association cortex - type 1,Association,True
0.05,lh_inferiorparietal_part4,0.6390661850493152,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_inferiorparietal_part4,3,Association cortex - type 2,Association,True
0.05,lh_inferiortemporal_part1,0.588717190603355,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_inferiortemporal_part1,2,Association cortex - type 1,Association,True
0.05,lh_inferiortemporal_part6,0.588717190603355,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_inferiortemporal_part6,2,Association cortex - type 1,Association,True
0.05,lh_isthmuscingulate_part1,0.912927158958567,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_isthmuscingulate_part1,6,Limbic cortex,Limbic,False
0.05,lh_lateraloccipital_part7,0.866200832370284,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_lateraloccipital_part7,4,Secondary sensory cortex,Secondary,False
0.05,lh_lateraloccipital_part9,0.866430958742587,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_lateraloccipital_part9,4,Secondary sensory cortex,Secondary,False
0.05,lh_lateralorbitofrontal_part3,1.0,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_lateralorbitofrontal_part3,4,Secondary sensory cortex,Secondary,False
0.05,lh_lingual_part5,0.7728733169753189,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_lingual_part5,4,Secondary sensory cortex,Secondary,False
0.05,lh_middletemporal_part3,0.5605592875959049,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_middletemporal_part3,2,Association cortex - type 1,Association,True
0.05,lh_middletemporal_part5,0.6791326715298466,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_middletemporal_part5,2,Association cortex - type 1,Association,True
0.05,lh_paracentral_part3,0.6871401277218654,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_paracentral_part3,1,Primary motor cortex,Primary,False
0.05,lh_parahippocampal_part1,0.5807515727784089,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_parahippocampal_part1,6,Limbic cortex,Limbic,False
0.05,lh_postcentral_part3,0.8654129751612792,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_postcentral_part3,5,Primary sensory cortex,Primary,False
0.05,lh_postcentral_part6,0.866430958742587,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_postcentral_part6,5,Primary sensory cortex,Primary,False
0.05,lh_postcentral_part8,0.8654944281528127,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_postcentral_part8,5,Primary sensory cortex,Primary,False
0.05,lh_precentral_part3,0.912927158958567,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_precentral_part3,1,Primary motor cortex,Primary,False
0.05,lh_precentral_part5,0.5607340335109167,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_precentral_part5,1,Primary motor cortex,Primary,False
0.05,lh_precuneus_part7,0.687272680192105,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_precuneus_part7,2,Association cortex - type 1,Association,True
0.05,lh_rostralmiddlefrontal_part3,0.733325519883672,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_rostralmiddlefrontal_part3,3,Association cortex - type 2,Association,True
0.05,lh_superiorfrontal_part10,0.5943442520370129,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_superiorfrontal_part10,2,Association cortex - type 1,Association,True
0.05,lh_superiorfrontal_part4,0.5944372994597104,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_superiorfrontal_part4,2,Association cortex - type 1,Association,True
0.05,lh_superiortemporal_part3,0.5614174881326842,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_superiortemporal_part3,3,Association cortex - type 2,Association,True
0.05,lh_supramarginal_part4,0.5612597778837718,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,lh_supramarginal_part4,3,Association cortex - type 2,Association,True
0.05,rh_caudalmiddlefrontal_part2,0.687272680192105,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,rh_caudalmiddlefrontal_part2,2,Association cortex - type 1,Association,True
0.05,rh_caudalmiddlefrontal_part3,0.6121797437475934,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,rh_caudalmiddlefrontal_part3,2,Association cortex - type 1,Association,True
0.05,rh_caudalmiddlefrontal_part4,0.6121797437475934,Control,MSN,500.aparc,Node Versatility,0.3468443081926794,0.2062036694424038,0.5530479776350832,True,rh_caudalmiddlefrontal_part4,2,Association cortex - type 1,Association,True
