Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_insula,0.3477097621193888,Control,MSN,aparc,Node Versatility,0.10804316524870125,0.21493168758984582,0.3229748528385471,True,lh_insula,7,Insular cortex,Insular,False
0.05,rh_caudalanteriorcingulate,1.0,Control,MSN,aparc,Node Versatility,0.10804316524870125,0.21493168758984582,0.3229748528385471,True,rh_caudalanteriorcingulate,6,Limbic cortex,Limbic,False
0.05,rh_caudalmiddlefrontal,1.0,Control,MSN,aparc,Node Versatility,0.10804316524870125,0.21493168758984582,0.3229748528385471,True,rh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.05,rh_posteriorcingulate,1.0,Control,MSN,aparc,Node Versatility,0.10804316524870125,0.21493168758984582,0.3229748528385471,True,rh_posteriorcingulate,6,Limbic cortex,Limbic,False
0.1,lh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.0621932890541775,0.17467385403150498,0.2368671430856825,True,lh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.1,rh_inferiorparietal,0.3170864588942644,Control,MSN,aparc,Node Versatility,0.0621932890541775,0.17467385403150498,0.2368671430856825,True,rh_inferiorparietal,3,Association cortex - type 2,Association,True
0.1,rh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.0621932890541775,0.17467385403150498,0.2368671430856825,True,rh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.1,rh_supramarginal,0.3170864588942644,Control,MSN,aparc,Node Versatility,0.0621932890541775,0.17467385403150498,0.2368671430856825,True,rh_supramarginal,3,Association cortex - type 2,Association,True
0.15,lh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.10100084187038465,0.1717825510045989,0.27278339287498354,True,lh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.15,rh_cuneus,0.30136685634676,Control,MSN,aparc,Node Versatility,0.10100084187038465,0.1717825510045989,0.27278339287498354,True,rh_cuneus,4,Secondary sensory cortex,Secondary,False
0.15,rh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.10100084187038465,0.1717825510045989,0.27278339287498354,True,rh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.2,lh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.041258293866076705,0.16770523652991948,0.2089635303959962,True,lh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.2,rh_medialorbitofrontal,1.0,Control,MSN,aparc,Node Versatility,0.041258293866076705,0.16770523652991948,0.2089635303959962,True,rh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.3,lh_fusiform,1.0,Control,MSN,aparc,Node Versatility,0.12712566276615409,0.17733564715287908,0.3044613099190332,True,lh_fusiform,2,Association cortex - type 1,Association,True
0.3,lh_lateralorbitofrontal,0.4070654706618266,Control,MSN,aparc,Node Versatility,0.12712566276615409,0.17733564715287908,0.3044613099190332,True,lh_lateralorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.3,rh_fusiform,1.0,Control,MSN,aparc,Node Versatility,0.12712566276615409,0.17733564715287908,0.3044613099190332,True,rh_fusiform,2,Association cortex - type 1,Association,True
0.3,rh_lateralorbitofrontal,0.4070654706618266,Control,MSN,aparc,Node Versatility,0.12712566276615409,0.17733564715287908,0.3044613099190332,True,rh_lateralorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.4,lh_cuneus,1.0,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,lh_cuneus,4,Secondary sensory cortex,Secondary,False
0.4,lh_lingual,1.0,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,lh_lingual,4,Secondary sensory cortex,Secondary,False
0.4,lh_pericalcarine,0.5750621683665926,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,lh_pericalcarine,5,Primary sensory cortex,Primary,False
0.4,lh_precuneus,1.0,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.4,rh_cuneus,0.7585520761706234,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,rh_cuneus,4,Secondary sensory cortex,Secondary,False
0.4,rh_lingual,1.0,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,rh_lingual,4,Secondary sensory cortex,Secondary,False
0.4,rh_pericalcarine,0.5750621683665926,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,rh_pericalcarine,5,Primary sensory cortex,Primary,False
0.4,rh_precuneus,1.0,Control,MSN,aparc,Node Versatility,0.2637794546719622,0.2541647481336754,0.5179442028056376,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.5,lh_cuneus,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_cuneus,4,Secondary sensory cortex,Secondary,False
0.5,lh_lingual,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_lingual,4,Secondary sensory cortex,Secondary,False
0.5,lh_pericalcarine,0.5572972180959765,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_pericalcarine,5,Primary sensory cortex,Primary,False
0.5,lh_precuneus,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.5,rh_cuneus,0.7270187208052689,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,rh_cuneus,4,Secondary sensory cortex,Secondary,False
0.5,rh_lingual,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,rh_lingual,4,Secondary sensory cortex,Secondary,False
0.5,rh_pericalcarine,0.5572972180959765,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,rh_pericalcarine,5,Primary sensory cortex,Primary,False
0.5,rh_precuneus,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.6,lh_cuneus,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_cuneus,4,Secondary sensory cortex,Secondary,False
0.6,lh_lingual,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_lingual,4,Secondary sensory cortex,Secondary,False
0.6,lh_pericalcarine,0.5572972180959765,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_pericalcarine,5,Primary sensory cortex,Primary,False
0.6,lh_precuneus,0.9536492205035164,Control,MSN,aparc,Node Versatility,0.23326781214012082,0.2503472480804345,0.48361506022055534,True,lh_precuneus,2,Association cortex - type 1,Association,True
