Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_caudalmiddlefrontal_part1,0.7254204439427533,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_caudalmiddlefrontal_part1,2,Association cortex - type 1,Association,True
0.05,lh_entorhinal_part1,0.9341076506060848,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_entorhinal_part1,6,Limbic cortex,Limbic,False
0.05,lh_fusiform_part2,0.7559495919312886,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_fusiform_part2,2,Association cortex - type 1,Association,True
0.05,lh_fusiform_part4,0.6901364635587853,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_fusiform_part4,2,Association cortex - type 1,Association,True
0.05,lh_inferiortemporal_part3,0.683493816329299,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_inferiortemporal_part3,2,Association cortex - type 1,Association,True
0.05,lh_inferiortemporal_part4,0.7455114804774523,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_inferiortemporal_part4,2,Association cortex - type 1,Association,True
0.05,lh_inferiortemporal_part5,0.7797091491296059,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_inferiortemporal_part5,2,Association cortex - type 1,Association,True
0.05,lh_inferiortemporal_part6,0.7132162442569226,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_inferiortemporal_part6,2,Association cortex - type 1,Association,True
0.05,lh_insula_part2,0.9412602517496026,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_insula_part2,7,Insular cortex,Insular,False
0.05,lh_isthmuscingulate_part1,0.712940374340756,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_isthmuscingulate_part1,6,Limbic cortex,Limbic,False
0.05,lh_lateraloccipital_part7,0.6663336006897638,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_lateraloccipital_part7,4,Secondary sensory cortex,Secondary,False
0.05,lh_lateralorbitofrontal_part1,0.7232084138205964,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_lateralorbitofrontal_part1,4,Secondary sensory cortex,Secondary,False
0.05,lh_lateralorbitofrontal_part2,0.7704739182029978,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_lateralorbitofrontal_part2,4,Secondary sensory cortex,Secondary,False
0.05,lh_lateralorbitofrontal_part3,0.6928606488462489,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_lateralorbitofrontal_part3,4,Secondary sensory cortex,Secondary,False
0.05,lh_medialorbitofrontal_part1,0.9035836824064364,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_medialorbitofrontal_part1,4,Secondary sensory cortex,Secondary,False
0.05,lh_middletemporal_part5,0.7086861374616849,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_middletemporal_part5,2,Association cortex - type 1,Association,True
0.05,lh_paracentral_part3,0.940473620105446,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_paracentral_part3,1,Primary motor cortex,Primary,False
0.05,lh_parahippocampal_part1,0.7274195920929357,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_parahippocampal_part1,6,Limbic cortex,Limbic,False
0.05,lh_precentral_part5,0.8342954408902064,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_precentral_part5,1,Primary motor cortex,Primary,False
0.05,lh_precentral_part7,0.6642002031725406,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_precentral_part7,1,Primary motor cortex,Primary,False
0.05,lh_precuneus_part6,0.8802614313271406,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_precuneus_part6,2,Association cortex - type 1,Association,True
0.05,lh_precuneus_part7,0.8225481398945822,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_precuneus_part7,2,Association cortex - type 1,Association,True
0.05,lh_rostralanteriorcingulate_part1,0.7233678299923916,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_rostralanteriorcingulate_part1,6,Limbic cortex,Limbic,False
0.05,lh_rostralmiddlefrontal_part10,0.8824333362482125,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_rostralmiddlefrontal_part10,3,Association cortex - type 2,Association,True
0.05,lh_superiorfrontal_part10,0.677914638799555,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_superiorfrontal_part10,2,Association cortex - type 1,Association,True
0.05,lh_superiorfrontal_part11,0.7292566062886704,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_superiorfrontal_part11,2,Association cortex - type 1,Association,True
0.05,lh_superiorfrontal_part12,0.6798527314143429,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_superiorfrontal_part12,2,Association cortex - type 1,Association,True
0.05,lh_superiorfrontal_part3,0.6898090274089832,Control,maxSW,500.aparc,Node Versatility,0.41028301774323506,0.23965331352553246,0.6499363312687675,True,lh_superiorfrontal_part3,2,Association cortex - type 1,Association,True
