Density,Region,Metric_Value,Group,Method,Parcellation,Feature,Mean_Metric,SD_Metric,High_Threshold,Is_High_Node,Mapping_Region,Von_Economo_Class,Von_Economo_Label,Broad_Category,Is_Association_Cortex
0.05,lh_caudalmiddlefrontal,0.2957822848204002,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.05,lh_inferiorparietal,0.2723740555978487,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_inferiorparietal,3,Association cortex - type 2,Association,True
0.05,lh_paracentral,0.2893637162165841,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_paracentral,1,Primary motor cortex,Primary,False
0.05,lh_precentral,0.3118587159237332,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_precentral,1,Primary motor cortex,Primary,False
0.05,lh_precuneus,0.2705251573734244,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.05,lh_transversetemporal,0.4473615865520365,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,lh_transversetemporal,5,Primary sensory cortex,Primary,False
0.05,rh_caudalmiddlefrontal,0.2852385899994979,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,rh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.05,rh_paracentral,0.2893637162165841,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,rh_paracentral,1,Primary motor cortex,Primary,False
0.05,rh_parstriangularis,0.4405259828338136,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,rh_parstriangularis,2,Association cortex - type 1,Association,True
0.05,rh_precuneus,0.6052078657643252,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.05,rh_transversetemporal,0.4473615865520365,Control,maxSW,aparc,Node Versatility,0.09695423528325811,0.13935484218879887,0.23630907747205698,True,rh_transversetemporal,5,Primary sensory cortex,Primary,False
0.1,lh_caudalmiddlefrontal,0.5398417538966606,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.1,lh_paracentral,0.791413509295,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_paracentral,1,Primary motor cortex,Primary,False
0.1,lh_parsopercularis,0.584305213081076,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_parsopercularis,2,Association cortex - type 1,Association,True
0.1,lh_precentral,0.7691188586009844,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_precentral,1,Primary motor cortex,Primary,False
0.1,lh_superiorparietal,0.6808230632830884,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_superiorparietal,2,Association cortex - type 1,Association,True
0.1,lh_transversetemporal,0.8103550535064172,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,lh_transversetemporal,5,Primary sensory cortex,Primary,False
0.1,rh_paracentral,0.7566033137488896,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,rh_paracentral,1,Primary motor cortex,Primary,False
0.1,rh_precentral,0.8325820050566105,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,rh_precentral,1,Primary motor cortex,Primary,False
0.1,rh_precuneus,0.7994109765050539,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.1,rh_superiorparietal,0.6808230632830884,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,rh_superiorparietal,2,Association cortex - type 1,Association,True
0.1,rh_transversetemporal,0.8103550535064172,Control,maxSW,aparc,Node Versatility,0.2826223521961665,0.2444663547352458,0.5270887069314123,True,rh_transversetemporal,5,Primary sensory cortex,Primary,False
0.15,lh_caudalmiddlefrontal,0.605235231185604,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,lh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.15,lh_paracentral,1.0,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,lh_paracentral,1,Primary motor cortex,Primary,False
0.15,lh_precentral,0.5024703074494374,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,lh_precentral,1,Primary motor cortex,Primary,False
0.15,lh_precuneus,0.5511493039342673,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.15,rh_fusiform,0.445748899841094,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,rh_fusiform,2,Association cortex - type 1,Association,True
0.15,rh_paracentral,0.6778363232709836,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,rh_paracentral,1,Primary motor cortex,Primary,False
0.15,rh_precentral,0.4716857853304132,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,rh_precentral,1,Primary motor cortex,Primary,False
0.15,rh_rostralmiddlefrontal,0.4404517429786371,Control,maxSW,aparc,Node Versatility,0.252967309325281,0.17716356443129064,0.43013087375657166,True,rh_rostralmiddlefrontal,3,Association cortex - type 2,Association,True
0.2,lh_caudalmiddlefrontal,0.3803086615478471,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_caudalmiddlefrontal,2,Association cortex - type 1,Association,True
0.2,lh_medialorbitofrontal,0.3683404163980154,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.2,lh_paracentral,0.3788678891839125,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_paracentral,1,Primary motor cortex,Primary,False
0.2,lh_parahippocampal,0.4088619713785961,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_parahippocampal,6,Limbic cortex,Limbic,False
0.2,lh_precentral,0.5329707709492956,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_precentral,1,Primary motor cortex,Primary,False
0.2,lh_precuneus,0.3806360560972176,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.2,lh_rostralmiddlefrontal,0.3737397085919891,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,lh_rostralmiddlefrontal,3,Association cortex - type 2,Association,True
0.2,rh_medialorbitofrontal,0.4174795474426392,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,rh_medialorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.2,rh_parahippocampal,0.4365982313859917,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,rh_parahippocampal,6,Limbic cortex,Limbic,False
0.2,rh_parstriangularis,0.3923084683405475,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,rh_parstriangularis,2,Association cortex - type 1,Association,True
0.2,rh_precentral,0.594762368450351,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,rh_precentral,1,Primary motor cortex,Primary,False
0.2,rh_rostralmiddlefrontal,0.4107765384853929,Control,maxSW,aparc,Node Versatility,0.19192620341251798,0.14036714868532796,0.33229335209784594,True,rh_rostralmiddlefrontal,3,Association cortex - type 2,Association,True
0.3,lh_fusiform,0.618066879844404,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,lh_fusiform,2,Association cortex - type 1,Association,True
0.3,lh_lateralorbitofrontal,0.9177041355301538,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,lh_lateralorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.3,lh_rostralanteriorcingulate,0.8043967180621545,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,lh_rostralanteriorcingulate,6,Limbic cortex,Limbic,False
0.3,lh_transversetemporal,0.734347767753199,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,lh_transversetemporal,5,Primary sensory cortex,Primary,False
0.3,rh_fusiform,0.6813427077149538,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,rh_fusiform,2,Association cortex - type 1,Association,True
0.3,rh_lateralorbitofrontal,1.0,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,rh_lateralorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.3,rh_rostralanteriorcingulate,0.8234131004560785,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,rh_rostralanteriorcingulate,6,Limbic cortex,Limbic,False
0.3,rh_transversetemporal,0.734347767753199,Control,maxSW,aparc,Node Versatility,0.2743247370950733,0.22923500854132578,0.5035597456363992,True,rh_transversetemporal,5,Primary sensory cortex,Primary,False
0.4,lh_caudalanteriorcingulate,0.4230974895582659,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_caudalanteriorcingulate,6,Limbic cortex,Limbic,False
0.4,lh_entorhinal,0.4776115348522707,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_entorhinal,6,Limbic cortex,Limbic,False
0.4,lh_lateralorbitofrontal,0.4256930775003094,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_lateralorbitofrontal,4,Secondary sensory cortex,Secondary,False
0.4,lh_parahippocampal,0.4495687184309351,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_parahippocampal,6,Limbic cortex,Limbic,False
0.4,lh_posteriorcingulate,0.6132034907596091,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_posteriorcingulate,6,Limbic cortex,Limbic,False
0.4,lh_precuneus,0.6127356124168302,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.4,lh_transversetemporal,0.5039155142884653,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,lh_transversetemporal,5,Primary sensory cortex,Primary,False
0.4,rh_caudalanteriorcingulate,0.4244284180389587,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_caudalanteriorcingulate,6,Limbic cortex,Limbic,False
0.4,rh_entorhinal,0.4776115348522707,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_entorhinal,6,Limbic cortex,Limbic,False
0.4,rh_isthmuscingulate,0.6508794381513141,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_isthmuscingulate,6,Limbic cortex,Limbic,False
0.4,rh_parahippocampal,0.626461631072144,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_parahippocampal,6,Limbic cortex,Limbic,False
0.4,rh_posteriorcingulate,0.5865769953493231,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_posteriorcingulate,6,Limbic cortex,Limbic,False
0.4,rh_precuneus,0.5917787822890851,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.4,rh_rostralanteriorcingulate,0.6114655092247997,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_rostralanteriorcingulate,6,Limbic cortex,Limbic,False
0.4,rh_transversetemporal,0.5039155142884653,Control,maxSW,aparc,Node Versatility,0.219986498398575,0.19867612657468012,0.4186626249732551,True,rh_transversetemporal,5,Primary sensory cortex,Primary,False
0.5,lh_bankssts,0.3587539414831258,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_bankssts,3,Association cortex - type 2,Association,True
0.5,lh_insula,0.3358413800083481,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_insula,7,Insular cortex,Insular,False
0.5,lh_posteriorcingulate,0.5659994547384569,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_posteriorcingulate,6,Limbic cortex,Limbic,False
0.5,lh_precuneus,0.7080914470775648,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.5,lh_superiorfrontal,0.3082109976553217,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_superiorfrontal,2,Association cortex - type 1,Association,True
0.5,lh_transversetemporal,0.2870319241440019,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,lh_transversetemporal,5,Primary sensory cortex,Primary,False
0.5,rh_bankssts,0.3358413800083481,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,rh_bankssts,3,Association cortex - type 2,Association,True
0.5,rh_insula,0.3358413800083481,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,rh_insula,7,Insular cortex,Insular,False
0.5,rh_precuneus,0.5992143142988944,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.5,rh_transversetemporal,0.2838750645578259,Control,maxSW,aparc,Node Versatility,0.10976654713257238,0.14727114088015655,0.2570376880127289,True,rh_transversetemporal,5,Primary sensory cortex,Primary,False
0.6,lh_caudalanteriorcingulate,0.6843652579133942,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_caudalanteriorcingulate,6,Limbic cortex,Limbic,False
0.6,lh_entorhinal,0.6714198408909403,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_entorhinal,6,Limbic cortex,Limbic,False
0.6,lh_inferiortemporal,0.8369369951471263,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_inferiortemporal,2,Association cortex - type 1,Association,True
0.6,lh_parsorbitalis,0.5257205554892678,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_parsorbitalis,4,Secondary sensory cortex,Secondary,False
0.6,lh_posteriorcingulate,0.5401813283897516,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_posteriorcingulate,6,Limbic cortex,Limbic,False
0.6,lh_precuneus,0.7686208484932555,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_precuneus,2,Association cortex - type 1,Association,True
0.6,lh_superiorfrontal,0.7884242176153149,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,lh_superiorfrontal,2,Association cortex - type 1,Association,True
0.6,rh_entorhinal,0.6714198408909403,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,rh_entorhinal,6,Limbic cortex,Limbic,False
0.6,rh_inferiortemporal,0.8654236052404412,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,rh_inferiortemporal,2,Association cortex - type 1,Association,True
0.6,rh_parsorbitalis,0.5056922398726169,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,rh_parsorbitalis,4,Secondary sensory cortex,Secondary,False
0.6,rh_precuneus,0.934830188470298,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,rh_precuneus,2,Association cortex - type 1,Association,True
0.6,rh_superiorfrontal,1.0,Control,maxSW,aparc,Node Versatility,0.2525301403749408,0.25131639784970544,0.5038465382246462,True,rh_superiorfrontal,2,Association cortex - type 1,Association,True
0.7,lh_cuneus,0.5068872909694369,Control,maxSW,aparc,Node Versatility,0.1678905935272351,0.18784832009084976,0.35573891361808485,True,lh_cuneus,4,Secondary sensory cortex,Secondary,False
0.7,lh_inferiortemporal,0.4411808805170958,Control,maxSW,aparc,Node Versatility,0.1678905935272351,0.18784832009084976,0.35573891361808485,True,lh_inferiortemporal,2,Association cortex - type 1,Association,True
