Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MIND,aparc,0.03,Participation Coefficient,lh_bankssts,0.0,0.7829282501489431,0.7829282501489431
MIND,aparc,0.03,Participation Coefficient,lh_caudalanteriorcingulate,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_cuneus,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_entorhinal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_frontalpole,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_fusiform,0.0,0.7744625219783968,0.7744625219783968
MIND,aparc,0.03,Participation Coefficient,lh_inferiorparietal,0.7789034229044426,0.5758736090715725,-0.2030298138328701
MIND,aparc,0.03,Participation Coefficient,lh_inferiortemporal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_insula,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_isthmuscingulate,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_lateraloccipital,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_lingual,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_medialorbitofrontal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_middletemporal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_paracentral,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_parahippocampal,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_parsopercularis,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_parsorbitalis,0.0,0.0,0.0
MIND,aparc,0.03,Participation Coefficient,lh_parstriangularis,0.0,0.0,0.0
