Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MSN,500.aparc,0.03,Participation Coefficient,lh_bankssts_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_bankssts_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_caudalanteriorcingulate_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part3,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part4,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_cuneus_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_cuneus_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_entorhinal_part1,0.3799996717926159,0.0,-0.3799996717926159
MSN,500.aparc,0.03,Participation Coefficient,lh_fusiform_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_fusiform_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_fusiform_part3,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_fusiform_part4,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_fusiform_part5,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part3,0.36615589780294155,0.0,-0.36615589780294155
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part4,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part5,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part6,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part7,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part8,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part1,0.0,0.6647769506022577,0.6647769506022577
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part3,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part4,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part5,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part6,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_isthmuscingulate_part1,0.8879906881173321,0.0,-0.8879906881173321
MSN,500.aparc,0.03,Participation Coefficient,lh_isthmuscingulate_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part1,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part2,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part3,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part4,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part5,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part6,0.0,0.0,0.0
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part7,0.6990389909810379,0.6259315017905195,-0.07310748919051846
MSN,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part8,0.0,0.0,0.0
