Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
MSN,aparc,0.03,Participation Coefficient,lh_bankssts,0.0,0.6804546656268601,0.6804546656268601
MSN,aparc,0.03,Participation Coefficient,lh_caudalanteriorcingulate,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_cuneus,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_entorhinal,0.0,0.6272977989162627,0.6272977989162627
MSN,aparc,0.03,Participation Coefficient,lh_fusiform,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_inferiorparietal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_inferiortemporal,0.0,0.8618993782638553,0.8618993782638553
MSN,aparc,0.03,Participation Coefficient,lh_isthmuscingulate,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_lateraloccipital,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_lingual,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_medialorbitofrontal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_middletemporal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_parahippocampal,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_paracentral,0.8947364426279064,0.0,-0.8947364426279064
MSN,aparc,0.03,Participation Coefficient,lh_parsopercularis,0.8798274873400181,0.842914036825703,-0.03691345051431516
MSN,aparc,0.03,Participation Coefficient,lh_parsorbitalis,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_parstriangularis,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_pericalcarine,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_postcentral,0.7781032933116723,0.0,-0.7781032933116723
MSN,aparc,0.03,Participation Coefficient,lh_posteriorcingulate,0.670702604977342,0.0,-0.670702604977342
MSN,aparc,0.03,Participation Coefficient,lh_precentral,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_precuneus,0.0,0.0,0.0
MSN,aparc,0.03,Participation Coefficient,lh_rostralanteriorcingulate,0.0,0.0,0.0
