Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
maxSW,500.aparc,0.03,Participation Coefficient,lh_bankssts_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_bankssts_part2,0.0,0.6326012559272416,0.6326012559272416
maxSW,500.aparc,0.03,Participation Coefficient,lh_caudalanteriorcingulate_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part1,0.8068580106298539,0.6208131709405205,-0.18604483968933339
maxSW,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part2,0.4633797648763956,0.8925218954794886,0.429142130603093
maxSW,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal_part4,0.0,0.7259936186300467,0.7259936186300467
maxSW,500.aparc,0.03,Participation Coefficient,lh_cuneus_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_cuneus_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_entorhinal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_frontalpole_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_fusiform_part1,0.15421332648764394,0.5107929828458638,0.35657965635821987
maxSW,500.aparc,0.03,Participation Coefficient,lh_fusiform_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_fusiform_part3,0.4895330810948405,0.0,-0.4895330810948405
maxSW,500.aparc,0.03,Participation Coefficient,lh_fusiform_part4,0.6160702900138209,0.6280588113582084,0.011988521344387548
maxSW,500.aparc,0.03,Participation Coefficient,lh_fusiform_part5,0.6755747861844208,1.0,0.3244252138155792
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part1,0.0,0.6302571899784134,0.6302571899784134
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part2,0.6012280581075298,0.7454739355083048,0.144245877400775
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part4,0.4191661104753501,0.7088151656105138,0.28964905513516376
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part5,0.0,0.4017484124588318,0.4017484124588318
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part6,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part7,0.708873339368261,0.3864603350138393,-0.3224130043544217
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiorparietal_part8,0.7048037160159945,0.7071591709980404,0.0023554549820459236
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part4,0.7088689195982959,0.0,-0.7088689195982959
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part5,0.7982506622299279,0.525931252297283,-0.2723194099326449
maxSW,500.aparc,0.03,Participation Coefficient,lh_inferiortemporal_part6,0.0,0.7974664665928416,0.7974664665928416
maxSW,500.aparc,0.03,Participation Coefficient,lh_insula_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_insula_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_insula_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_insula_part4,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_isthmuscingulate_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_isthmuscingulate_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part2,0.6259889484757688,0.6842745198908878,0.05828557141511903
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part3,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part4,0.0,0.641367410113184,0.641367410113184
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part5,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part6,0.0,0.4146296380582247,0.4146296380582247
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part7,0.0,0.624163061616467,0.624163061616467
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part8,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateraloccipital_part9,0.41474457425180555,0.567657423356455,0.15291284910464942
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal_part2,0.578127968759849,0.8522535084802823,0.2741255397204333
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal_part3,0.776834541680804,0.6114013260814731,-0.16543321559933089
maxSW,500.aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal_part4,0.0,0.2531451544311568,0.2531451544311568
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part1,0.0,0.6893228036388201,0.6893228036388201
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part2,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part3,0.4831390405527575,0.5673069633790624,0.08416792282630486
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part4,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part5,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_lingual_part6,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_medialorbitofrontal_part1,0.0,0.0,0.0
maxSW,500.aparc,0.03,Participation Coefficient,lh_medialorbitofrontal_part2,0.6172131200694515,0.2358681398272911,-0.3813449802421604
