Method,Parcellation,Density,Feature,Region,Control_normalized,Gifted_normalized,Diff_gifted_minus_controls
maxSW,aparc,0.03,Participation Coefficient,lh_bankssts,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_caudalanteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_caudalmiddlefrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_cuneus,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_entorhinal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_frontalpole,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_fusiform,0.6579123543735202,0.6653603773813619,0.007448023007841642
maxSW,aparc,0.03,Participation Coefficient,lh_inferiorparietal,0.0,0.9977219338605833,0.9977219338605833
maxSW,aparc,0.03,Participation Coefficient,lh_inferiortemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_insula,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_isthmuscingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_lateraloccipital,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_lateralorbitofrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_lingual,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_medialorbitofrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_middletemporal,0.0,0.729004868110054,0.729004868110054
maxSW,aparc,0.03,Participation Coefficient,lh_paracentral,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_parahippocampal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_parsopercularis,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_parsorbitalis,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_parstriangularis,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_pericalcarine,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_postcentral,0.7481713337185235,0.0,-0.7481713337185235
maxSW,aparc,0.03,Participation Coefficient,lh_posteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_precentral,0.6635582868139489,0.0,-0.6635582868139489
maxSW,aparc,0.03,Participation Coefficient,lh_precuneus,0.0,0.7479465616712498,0.7479465616712498
maxSW,aparc,0.03,Participation Coefficient,lh_rostralanteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_rostralmiddlefrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_superiorfrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_superiorparietal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_superiortemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_supramarginal,0.6573097447710214,0.8443334948723263,0.1870237501013049
maxSW,aparc,0.03,Participation Coefficient,lh_temporalpole,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,lh_transversetemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_bankssts,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_caudalanteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_caudalmiddlefrontal,0.936145064848913,0.0,-0.936145064848913
maxSW,aparc,0.03,Participation Coefficient,rh_cuneus,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_entorhinal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_frontalpole,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_fusiform,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_inferiorparietal,0.5578376681501619,1.0,0.4421623318498381
maxSW,aparc,0.03,Participation Coefficient,rh_inferiortemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_insula,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_isthmuscingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_lateraloccipital,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_lateralorbitofrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_lingual,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_medialorbitofrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_middletemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_paracentral,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_parahippocampal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_parsopercularis,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_parsorbitalis,0.0,0.6498482923129698,0.6498482923129698
maxSW,aparc,0.03,Participation Coefficient,rh_parstriangularis,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_pericalcarine,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_postcentral,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_posteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_precentral,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_precuneus,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_rostralanteriorcingulate,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_rostralmiddlefrontal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_superiorfrontal,0.7472485673153323,0.7471992426114334,-4.932470389884536e-05
maxSW,aparc,0.03,Participation Coefficient,rh_superiorparietal,0.7478259738581137,0.0,-0.7478259738581137
maxSW,aparc,0.03,Participation Coefficient,rh_superiortemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_supramarginal,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_temporalpole,0.0,0.0,0.0
maxSW,aparc,0.03,Participation Coefficient,rh_transversetemporal,0.0,0.0,0.0
maxSW,aparc,0.03,Node Versatility,lh_bankssts,0.04340440348957075,0.2631602531124505,0.21975584962287975
maxSW,aparc,0.03,Node Versatility,lh_caudalanteriorcingulate,0.0,0.040167641881142024,0.040167641881142024
maxSW,aparc,0.03,Node Versatility,lh_caudalmiddlefrontal,0.11803843259030006,0.012728429631477614,-0.10531000295882244
maxSW,aparc,0.03,Node Versatility,lh_cuneus,0.11692725225909516,0.1462639534968148,0.029336701237719656
maxSW,aparc,0.03,Node Versatility,lh_entorhinal,0.21326004778083993,0.0,-0.21326004778083993
maxSW,aparc,0.03,Node Versatility,lh_frontalpole,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,lh_fusiform,0.0,0.03313097469028502,0.03313097469028502
maxSW,aparc,0.03,Node Versatility,lh_inferiorparietal,0.0,0.3776866815260462,0.3776866815260462
maxSW,aparc,0.03,Node Versatility,lh_inferiortemporal,0.14575724728817127,0.0,-0.14575724728817127
maxSW,aparc,0.03,Node Versatility,lh_insula,0.04340440348957075,0.2631602531124505,0.21975584962287975
maxSW,aparc,0.03,Node Versatility,lh_isthmuscingulate,0.0,0.02440292221811316,0.02440292221811316
maxSW,aparc,0.03,Node Versatility,lh_lateraloccipital,0.11692725225909516,0.1462639534968148,0.029336701237719656
maxSW,aparc,0.03,Node Versatility,lh_lateralorbitofrontal,0.0,0.043504251110885454,0.043504251110885454
maxSW,aparc,0.03,Node Versatility,lh_lingual,0.19097102095429153,0.12421568354316438,-0.06675533741112714
maxSW,aparc,0.03,Node Versatility,lh_medialorbitofrontal,0.0,0.02440292221811316,0.02440292221811316
maxSW,aparc,0.03,Node Versatility,lh_middletemporal,0.5911620305088336,0.0,-0.5911620305088336
maxSW,aparc,0.03,Node Versatility,lh_paracentral,0.3697729894960452,0.0072209393116426535,-0.36255205018440256
maxSW,aparc,0.03,Node Versatility,lh_parahippocampal,0.21326004778083993,0.0072209393116426535,-0.20603910846919726
maxSW,aparc,0.03,Node Versatility,lh_parsopercularis,0.0,0.012728429631477614,0.012728429631477614
maxSW,aparc,0.03,Node Versatility,lh_parsorbitalis,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,lh_parstriangularis,0.0,0.01644544758177191,0.01644544758177191
maxSW,aparc,0.03,Node Versatility,lh_pericalcarine,0.19097102095429153,0.12421568354316438,-0.06675533741112714
maxSW,aparc,0.03,Node Versatility,lh_postcentral,0.32274196395151444,0.6405156444336703,0.3177736804821558
maxSW,aparc,0.03,Node Versatility,lh_posteriorcingulate,0.0,0.040167641881142024,0.040167641881142024
maxSW,aparc,0.03,Node Versatility,lh_precentral,0.448605713378563,0.0072209393116426535,-0.44138477406692034
maxSW,aparc,0.03,Node Versatility,lh_precuneus,0.06853128536696841,0.3053916574608032,0.23686037209383481
maxSW,aparc,0.03,Node Versatility,lh_rostralanteriorcingulate,0.0,0.043504251110885454,0.043504251110885454
maxSW,aparc,0.03,Node Versatility,lh_rostralmiddlefrontal,0.0,0.01644544758177191,0.01644544758177191
maxSW,aparc,0.03,Node Versatility,lh_superiorfrontal,0.35685791719645404,0.0,-0.35685791719645404
maxSW,aparc,0.03,Node Versatility,lh_superiorparietal,1.0,0.4933728418923959,-0.5066271581076041
maxSW,aparc,0.03,Node Versatility,lh_superiortemporal,0.14575724728817127,0.0,-0.14575724728817127
maxSW,aparc,0.03,Node Versatility,lh_supramarginal,0.0,0.01644544758177191,0.01644544758177191
maxSW,aparc,0.03,Node Versatility,lh_temporalpole,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,lh_transversetemporal,0.06853128536696841,0.3053916574608032,0.23686037209383481
maxSW,aparc,0.03,Node Versatility,rh_bankssts,0.04340440348957075,0.2631602531124505,0.21975584962287975
maxSW,aparc,0.03,Node Versatility,rh_caudalanteriorcingulate,0.0,0.040167641881142024,0.040167641881142024
maxSW,aparc,0.03,Node Versatility,rh_caudalmiddlefrontal,0.11803843259030006,0.012728429631477614,-0.10531000295882244
maxSW,aparc,0.03,Node Versatility,rh_cuneus,0.11692725225909516,0.1462639534968148,0.029336701237719656
maxSW,aparc,0.03,Node Versatility,rh_entorhinal,0.21326004778083993,0.0,-0.21326004778083993
maxSW,aparc,0.03,Node Versatility,rh_frontalpole,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,rh_fusiform,0.0,0.03313097469028502,0.03313097469028502
maxSW,aparc,0.03,Node Versatility,rh_inferiorparietal,0.0,0.012728429631477614,0.012728429631477614
maxSW,aparc,0.03,Node Versatility,rh_inferiortemporal,0.14575724728817127,0.0,-0.14575724728817127
maxSW,aparc,0.03,Node Versatility,rh_insula,0.04340440348957075,0.2631602531124505,0.21975584962287975
maxSW,aparc,0.03,Node Versatility,rh_isthmuscingulate,0.0,0.02440292221811316,0.02440292221811316
maxSW,aparc,0.03,Node Versatility,rh_lateraloccipital,0.11692725225909516,0.1462639534968148,0.029336701237719656
maxSW,aparc,0.03,Node Versatility,rh_lateralorbitofrontal,0.0,0.043504251110885454,0.043504251110885454
maxSW,aparc,0.03,Node Versatility,rh_lingual,0.19097102095429153,0.12421568354316438,-0.06675533741112714
maxSW,aparc,0.03,Node Versatility,rh_medialorbitofrontal,0.0,0.02440292221811316,0.02440292221811316
maxSW,aparc,0.03,Node Versatility,rh_middletemporal,0.5911620305088336,0.0,-0.5911620305088336
maxSW,aparc,0.03,Node Versatility,rh_paracentral,0.3697729894960452,0.0072209393116426535,-0.36255205018440256
maxSW,aparc,0.03,Node Versatility,rh_parahippocampal,0.21326004778083993,0.0072209393116426535,-0.20603910846919726
maxSW,aparc,0.03,Node Versatility,rh_parsopercularis,0.0,0.012728429631477614,0.012728429631477614
maxSW,aparc,0.03,Node Versatility,rh_parsorbitalis,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,rh_parstriangularis,0.0,0.01644544758177191,0.01644544758177191
maxSW,aparc,0.03,Node Versatility,rh_pericalcarine,0.19097102095429153,0.12421568354316438,-0.06675533741112714
maxSW,aparc,0.03,Node Versatility,rh_postcentral,0.32274196395151444,0.6405156444336703,0.3177736804821558
maxSW,aparc,0.03,Node Versatility,rh_posteriorcingulate,0.0,0.040167641881142024,0.040167641881142024
maxSW,aparc,0.03,Node Versatility,rh_precentral,0.448605713378563,0.0072209393116426535,-0.44138477406692034
maxSW,aparc,0.03,Node Versatility,rh_precuneus,0.06853128536696841,0.3053916574608032,0.23686037209383481
maxSW,aparc,0.03,Node Versatility,rh_rostralanteriorcingulate,0.0,0.043504251110885454,0.043504251110885454
maxSW,aparc,0.03,Node Versatility,rh_rostralmiddlefrontal,0.0,0.01644544758177191,0.01644544758177191
maxSW,aparc,0.03,Node Versatility,rh_superiorfrontal,0.35685791719645404,0.0,-0.35685791719645404
maxSW,aparc,0.03,Node Versatility,rh_superiorparietal,1.0,0.4933728418923959,-0.5066271581076041
maxSW,aparc,0.03,Node Versatility,rh_superiortemporal,0.14575724728817127,0.0,-0.14575724728817127
maxSW,aparc,0.03,Node Versatility,rh_supramarginal,0.0,0.012728429631477614,0.012728429631477614
maxSW,aparc,0.03,Node Versatility,rh_temporalpole,0.11816566027298468,0.0,-0.11816566027298468
maxSW,aparc,0.03,Node Versatility,rh_transversetemporal,0.06853128536696841,0.3053916574608032,0.23686037209383481
maxSW,aparc,0.03,Node Strength,lh_bankssts,0.1620089454836352,0.16901192511122795,0.007002979627592748
maxSW,aparc,0.03,Node Strength,lh_caudalanteriorcingulate,0.049063514729759394,0.04530140263243833,-0.003762112097321066
maxSW,aparc,0.03,Node Strength,lh_caudalmiddlefrontal,0.05924031363937876,0.05889808728885756,-0.00034222635052120337
maxSW,aparc,0.03,Node Strength,lh_cuneus,0.056916549776512754,0.05530500889488618,-0.001611540881626572
maxSW,aparc,0.03,Node Strength,lh_entorhinal,0.1364263198816049,0.03408041465894771,-0.10234590522265719
maxSW,aparc,0.03,Node Strength,lh_frontalpole,0.0,0.015421643568875775,0.015421643568875775
maxSW,aparc,0.03,Node Strength,lh_fusiform,0.36660466561863647,0.37004815064091756,0.0034434850222810898
maxSW,aparc,0.03,Node Strength,lh_inferiorparietal,0.06368584017666835,0.3714436628963256,0.30775782271965724
maxSW,aparc,0.03,Node Strength,lh_inferiortemporal,0.366457668538938,0.21727582598522513,-0.1491818425537129
maxSW,aparc,0.03,Node Strength,lh_insula,0.18445609770173022,0.1730414616917196,-0.01141463601001061
maxSW,aparc,0.03,Node Strength,lh_isthmuscingulate,0.051545985188856086,0.056356659873182946,0.00481067468432686
maxSW,aparc,0.03,Node Strength,lh_lateraloccipital,0.20344092377553008,0.36096102091770504,0.15752009714217496
maxSW,aparc,0.03,Node Strength,lh_lateralorbitofrontal,0.203226501319893,0.21378185235661007,0.010555351036717064
maxSW,aparc,0.03,Node Strength,lh_lingual,0.14588874272415742,0.15523110096817444,0.009342358244017024
maxSW,aparc,0.03,Node Strength,lh_medialorbitofrontal,0.19945958450851967,0.19982787256047183,0.0003682880519521592
maxSW,aparc,0.03,Node Strength,lh_middletemporal,0.17937135374421703,0.17565491930499222,-0.003716434439224814
maxSW,aparc,0.03,Node Strength,lh_paracentral,0.19344035800823361,0.060435167282976335,-0.1330051907252573
maxSW,aparc,0.03,Node Strength,lh_parahippocampal,0.15241322744032335,0.05091286669366387,-0.10150036074665947
maxSW,aparc,0.03,Node Strength,lh_parsopercularis,0.05747588616174859,0.05693591329980418,-0.0005399728619444114
